logFC,AveExpr,t,P.Value,adj.P.Val,B,geneset
0.924568357645143,0.00099219791055373,39.0915516130907,1.44626808053043e-23,2.6900586297866e-21,44.0516384971334,KEGG_CELL_CYCLE
-0.896436078217368,-0.000430493075680397,-37.469557574623,4.01153809899769e-23,3.73073043206785e-21,43.0419695578806,KEGG_OXIDATIVE_PHOSPHORYLATION
-0.723183513076874,-0.0012365313069333,-28.1367793431335,3.7936021151658e-20,2.3520333114028e-18,36.1735801408201,KEGG_PARKINSONS_DISEASE
-0.532352866582774,0.00496517427275558,-18.5772195150638,6.23218398235855e-16,2.89796555179672e-14,26.2792377497455,KEGG_ALZHEIMERS_DISEASE
-0.473606977846151,0.00398660688831314,-12.7854117902661,2.51733983216715e-12,9.36450417566179e-11,17.7483556648638,KEGG_HUNTINGTONS_DISEASE
0.463160097539673,-0.00197740050602763,11.6914979607737,1.66867616670715e-11,5.17289611679217e-10,15.8032141019832,KEGG_OOCYTE_MEIOSIS
0.384915924707055,0.00410469177271724,10.5792348022359,1.30433159428278e-10,3.46579537909424e-09,13.6893496627503,KEGG_TGF_BETA_SIGNALING_PATHWAY
-0.471322974571388,0.00226033711188312,-7.91034606020666,3.3659015332098e-08,7.82572106471279e-07,7.99300389504836,KEGG_CARDIAC_MUSCLE_CONTRACTION
0.467414337545441,0.00415887992290155,7.65206578236692,6.0531853401484e-08,1.250991636964e-06,7.39282754474596,KEGG_ALLOGRAFT_REJECTION
0.328465035725846,0.00333030295043504,7.39505697098277,1.09495735753124e-07,2.03662068500811e-06,6.78721280449855,KEGG_LEISHMANIA_INFECTION
0.403479918019629,0.00304501596972335,7.04281080446464,2.5016665731901e-07,4.23009075103054e-06,5.94396970122689,KEGG_GRAFT_VERSUS_HOST_DISEASE
0.355124036631761,-0.0019952205997254,6.93817351880788,3.20729779923662e-07,4.97131158881676e-06,5.69063062250531,KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION
-0.409755013840391,0.0034531941262375,-6.79948192924993,4.46761968596253e-07,6.39213278145408e-06,5.3529024038376,KEGG_VIBRIO_CHOLERAE_INFECTION
0.263755708684936,-0.00523549084189493,6.59583321430155,7.29894810953623e-07,9.69717391695528e-06,4.85312256229427,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION
