"cell_type","sample","ssgsea_score","group","cell_type_label","immunity_class"
"Activated_B_cell","S01",0.130612598900669,"Case","Activated B cell","Adaptive"
"Activated_B_cell","S02",0.174756189859825,"Case","Activated B cell","Adaptive"
"Activated_B_cell","S03",0.309264174661177,"Case","Activated B cell","Adaptive"
"Activated_B_cell","S04",-0.050866448124813,"Case","Activated B cell","Adaptive"
"Activated_B_cell","S05",0.175941087306011,"Case","Activated B cell","Adaptive"
"Activated_B_cell","S06",0.12802436014052,"Case","Activated B cell","Adaptive"
"Activated_B_cell","S07",0.198737362077339,"Case","Activated B cell","Adaptive"
"Activated_B_cell","S08",0.241924313475569,"Case","Activated B cell","Adaptive"
"Activated_B_cell","S09",0.124642629282592,"Case","Activated B cell","Adaptive"
"Activated_B_cell","S10",0.28183991261344,"Case","Activated B cell","Adaptive"
"Activated_B_cell","S11",0.206848404056594,"Case","Activated B cell","Adaptive"
"Activated_B_cell","S12",0.204899430952448,"Case","Activated B cell","Adaptive"
"Activated_B_cell","S13",0.12608633457256,"Control","Activated B cell","Adaptive"
"Activated_B_cell","S14",0.267183279036005,"Control","Activated B cell","Adaptive"
"Activated_B_cell","S15",0.12920451604794,"Control","Activated B cell","Adaptive"
"Activated_B_cell","S16",0.0746721152533354,"Control","Activated B cell","Adaptive"
"Activated_B_cell","S17",0.139375608851244,"Control","Activated B cell","Adaptive"
"Activated_B_cell","S18",0.225582624511843,"Control","Activated B cell","Adaptive"
"Activated_B_cell","S19",0.200682492286461,"Control","Activated B cell","Adaptive"
"Activated_B_cell","S20",0.265939549797502,"Control","Activated B cell","Adaptive"
"Activated_B_cell","S21",0.166219496870372,"Control","Activated B cell","Adaptive"
"Activated_B_cell","S22",0.0952214232586097,"Control","Activated B cell","Adaptive"
"Activated_B_cell","S23",0.257236273435313,"Control","Activated B cell","Adaptive"
"Activated_B_cell","S24",0.301595261348695,"Control","Activated B cell","Adaptive"
"Activated_CD4_T_cell","S01",0.0825402418866485,"Case","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S02",0.043312755535302,"Case","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S03",0.197865995673602,"Case","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S04",0.208833495559569,"Case","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S05",0.201531846517782,"Case","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S06",0.0807575689257048,"Case","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S07",0.113398574599655,"Case","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S08",0.00187480551949604,"Case","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S09",0.176231937164237,"Case","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S10",0.152023533990879,"Case","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S11",0.124070921902572,"Case","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S12",0.194541047870251,"Case","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S13",-0.0377574208359923,"Control","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S14",0.0906423880666724,"Control","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S15",-0.0563011629056559,"Control","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S16",-0.0276070318325827,"Control","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S17",0.0674940228990463,"Control","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S18",0.0657920872784891,"Control","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S19",0.0228147268361983,"Control","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S20",0.182011438799511,"Control","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S21",0.130675664829019,"Control","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S22",0.131763297215443,"Control","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S23",0.077188506794918,"Control","Activated CD4 T cell","Adaptive"
"Activated_CD4_T_cell","S24",0.135337874766834,"Control","Activated CD4 T cell","Adaptive"
"Activated_CD8_T_cell","S01",0.374721867754678,"Case","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S02",0.517709007327427,"Case","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S03",0.435694228959137,"Case","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S04",0.348514210919078,"Case","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S05",0.453021479025279,"Case","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S06",0.444261082048599,"Case","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S07",0.423834523027372,"Case","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S08",0.380535411045985,"Case","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S09",0.405223872100843,"Case","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S10",0.358014531373938,"Case","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S11",0.390585933160594,"Case","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S12",0.486831388863905,"Case","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S13",-0.0226397187661689,"Control","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S14",-0.0990931797507823,"Control","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S15",0.0726654457627923,"Control","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S16",0.0195096366681228,"Control","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S17",-0.0882510467303161,"Control","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S18",-0.14613136409887,"Control","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S19",-0.0284273601416924,"Control","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S20",-0.104660386656976,"Control","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S21",-0.0598084681916164,"Control","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S22",-0.0366939526169793,"Control","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S23",0.0241900660144161,"Control","Activated CD8 T cell","Adaptive"
"Activated_CD8_T_cell","S24",-0.140597570066437,"Control","Activated CD8 T cell","Adaptive"
"Activated_dendritic_cell","S01",0.0828624724535904,"Case","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S02",0.240073258021552,"Case","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S03",0.098899123711412,"Case","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S04",0.290612909271952,"Case","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S05",0.308317290980959,"Case","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S06",0.142231443856345,"Case","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S07",0.158924847648056,"Case","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S08",0.138132002797428,"Case","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S09",0.179987954241173,"Case","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S10",0.30968161113135,"Case","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S11",0.181256096093235,"Case","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S12",0.190829564502024,"Case","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S13",0.168937897788445,"Control","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S14",0.223709884352456,"Control","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S15",0.105870918876332,"Control","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S16",0.172589594150995,"Control","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S17",0.288874358573736,"Control","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S18",0.193983645671283,"Control","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S19",0.243686337975781,"Control","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S20",0.233698738222878,"Control","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S21",0.127685402194653,"Control","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S22",0.090700440835331,"Control","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S23",0.0971177759841158,"Control","Activated dendritic cell","Innate"
"Activated_dendritic_cell","S24",0.193966627475829,"Control","Activated dendritic cell","Innate"
"CD56bright_natural_killer_cell","S01",0.121779892454677,"Case","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S02",0.238714021956622,"Case","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S03",0.239750699103523,"Case","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S04",0.224828561390581,"Case","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S05",0.191069864606629,"Case","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S06",0.203558345059131,"Case","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S07",0.260087755598188,"Case","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S08",0.230758939314258,"Case","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S09",0.260663901729884,"Case","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S10",0.211970195726164,"Case","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S11",0.270039363819015,"Case","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S12",0.309831041191635,"Case","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S13",0.253602781552157,"Control","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S14",0.336533951339567,"Control","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S15",0.309020248386858,"Control","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S16",0.249627427057267,"Control","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S17",0.220915116801472,"Control","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S18",0.268324946978611,"Control","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S19",0.223812723170772,"Control","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S20",0.237732863599991,"Control","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S21",0.209865348802932,"Control","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S22",0.228406957210175,"Control","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S23",0.284019135072092,"Control","CD56bright natural killer cell","Innate"
"CD56bright_natural_killer_cell","S24",0.329824619889356,"Control","CD56bright natural killer cell","Innate"
"CD56dim_natural_killer_cell","S01",-0.0162382167474583,"Case","CD56dim natural killer cell","Innate"
"CD56dim_natural_killer_cell","S02",0.151053117334649,"Case","CD56dim natural killer cell","Innate"
"CD56dim_natural_killer_cell","S03",0.159584027914552,"Case","CD56dim natural killer cell","Innate"
"CD56dim_natural_killer_cell","S04",0.326339126807571,"Case","CD56dim natural killer cell","Innate"
