"cell_type","case_n","control_n","case_mean","control_mean","delta_mean","p_value","p_adj","test_method"
"KEGG_ABC_TRANSPORTERS",12,12,0.191837389145079,0.0289301092658493,0.16290727987923,0.00555959049699795,0.0240484612195725,"wilcox"
"KEGG_ACUTE_MYELOID_LEUKEMIA",12,12,0.098704264779411,0.072065706855043,0.0266385579243679,0.0144925070890881,0.0573533259270293,"wilcox"
"KEGG_ADHERENS_JUNCTION",12,12,0.111494542060088,0.0819006681240279,0.0295938739360596,0.00231643440689073,0.011644778369775,"wilcox"
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",12,12,0.0280244511380393,0.0276880428776914,0.000336408260347896,0.755284828242158,0.872565081074791,"wilcox"
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",12,12,0.126822884648593,0.140576427913545,-0.0137535432649522,0.37768531105454,0.621676706691543,"wilcox"
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",12,12,0.111882146426692,0.104706343026956,0.00717580339973585,0.477575258232143,0.704992047866497,"wilcox"
"KEGG_ALLOGRAFT_REJECTION",12,12,0.206957007630077,0.122600138571517,0.0843568690585596,2.95840920420272e-06,3.23684771753944e-05,"wilcox"
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",12,12,0.109315722067025,0.187092397913089,-0.0777766758460639,0.0780243447493414,0.223269663436577,"wilcox"
"KEGG_ALZHEIMERS_DISEASE",12,12,-0.0296377872089153,0.0654262711703689,-0.0950640583792842,7.39602301050679e-07,1.37566027995426e-05,"wilcox"
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",12,12,0.0901892587880965,0.183447507763657,-0.0932582489755607,0.100530442770314,0.270995106598237,"wilcox"
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",12,12,0.101444961462305,0.0570083312352445,0.0444366302270606,0.755284828242158,0.872565081074791,"wilcox"
"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",12,12,0.0404935825437892,0.0221022635463911,0.018391318997398,0.0332414254207228,0.114498243115823,"wilcox"
