"cell_type","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24"
"KEGG_ABC_TRANSPORTERS",0.189688962346132,0.177078869082058,0.120996349321272,0.1586005134439,0.288623304096312,0.344572389308138,0.335207240155696,0.168710501712613,0.227445542916089,0.185952859337769,0.159306792975924,-0.0541346549549544,-0.255435607763183,0.0291114125035385,0.00748044788005768,0.214960674402425,0.0614841310315113,0.123404832327758,0.0819424438320726,0.222110641721608,0.100805756962353,0.0142818480387659,-0.239671608629702,-0.0133136611170127
"KEGG_ACUTE_MYELOID_LEUKEMIA",0.100274170838137,0.0708662119042516,0.113385351390475,0.0538944906611504,0.114750636024969,0.116688911766366,0.0933519131477032,0.145404147825013,0.101136179716754,0.0871067940683236,0.0804820593359599,0.107110310673828,0.115833039943687,0.0668293035912835,0.0344136504235551,0.0663018085091984,0.0734680690062649,0.0658860068015455,0.0443090120796682,0.0971324915098777,0.106368976161153,0.0534565088316854,0.0640832325466118,0.076706382855985
"KEGG_ADHERENS_JUNCTION",0.12276116468699,0.0986164960578129,0.11019943359652,0.0982333450487349,0.119754197371062,0.118662921405729,0.0971840516515306,0.148481450909423,0.076712900310983,0.111427361248189,0.115964026220736,0.11993715621334,0.0511373874930238,0.134021787419096,0.0581249675646384,0.0926466453985043,0.0716328238617777,0.0809738967940995,0.0842310205307511,0.0945365743958461,0.0399098966243614,0.0819440728470243,0.102327004136976,0.0913219404222358
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",0.0258087159662842,0.0238972405749984,0.0331372080808577,0.054724219394856,0.0608701376536003,0.00183796085474012,0.0396165443623326,0.0168601469123726,-0.0198317070266177,0.00546371315277201,0.0372050211933252,0.0567042125369498,0.0107180763470091,0.0767811283576046,0.0136627657471883,0.0374005986825227,0.00471497861617681,0.032120229174563,0.0466533105525854,0.0219068855047661,0.016339641050744,0.0278835209176683,0.00920553870868583,0.0348698408727824
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.0436391354213599,0.11839012789713,0.135659724581678,0.130920153915394,0.172169184172382,0.11826743494962,0.149986456265967,0.110798076704694,0.0939755416771169,0.124751549567331,0.141061429780135,0.182255800850309,0.153860097831464,0.162935084397216,0.0853186871796669,0.0894252044408098,0.16738802387867,0.162645640578472,0.203310368673511,0.175391003254219,0.15771906535729,0.0674840556163795,0.0826513445352272,0.178788559219618
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",0.143643808943156,0.0603906042326986,0.0649863553672042,0.0667828802886229,0.127056461046698,0.107180858556553,0.0849836061693868,0.126083169583676,0.127435349463408,0.145612376229331,0.139504873536977,0.148925413702587,0.132670526162985,0.122184421236585,0.0820348406948804,0.0916086250773239,0.0628882878872577,0.0902946229563134,0.120113209885793,0.0709290338989767,0.137160655275585,0.126385903846629,0.131339522182305,0.088866467218835
"KEGG_ALLOGRAFT_REJECTION",0.21094467665343,0.174272078958267,0.19584233615909,0.20889294434476,0.217718832740426,0.223091920885041,0.208026055649312,0.229360341920895,0.214821556676503,0.146777864048732,0.237524257732935,0.216211225791527,0.0975321060627241,0.0946167239002785,0.134180834572547,0.126620796952535,0.0688419638550861,0.147961967129611,0.125229423592465,0.131545286439117,0.105527415817078,0.163510542931137,0.137651114147434,0.13798348745819
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",0.0867912892144049,0.0654167097824721,0.253627728281619,0.214362034636549,0.21219614767878,-0.0336652349288066,0.127286434593342,0.0858694074249387,0.0391138431523476,0.00601910770811381,0.0414286049303439,0.213342592330197,0.470736217635342,-0.109964463335538,-0.175995305808995,0.244125078482429,0.302911638140439,0.125148264309507,0.31680116598808,0.258183473747305,0.262591908299526,0.297349222111335,-0.00954757727025933,0.262769152657898
"KEGG_ALZHEIMERS_DISEASE",-0.0303152125252112,-0.0231499926986773,-0.0128213737848309,-0.0286206764305039,-0.0399572781873962,-0.0268822121793012,-0.0333715369838262,-0.0364581352611745,-0.0415126210047808,-0.0400407162982171,-0.0206560523527964,-0.0218676388002681,0.0725361066224337,0.0871565342194161,0.0677329898520751,0.0744315589415001,0.062932454910247,0.0813628280180891,0.030029210268631,0.0578310096124527,0.0847635150324377,0.0436821547512705,0.0607874507616667,0.0618694410542078
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",-0.136607863648902,0.189623588234332,0.142655610942325,0.188072217964682,-0.0753076664889062,-0.0723882661438655,0.423813984429541,0.0800920690947056,0.0135763481376367,0.164477493776024,-0.118137511769352,0.282401100928938,0.275176054052909,-0.0149855662562025,0.246349207665376,0.328996724646962,0.215385076103827,0.20236593703915,0.25676555263702,0.163700411586894,0.308969702612906,-0.0981742789644717,0.216273514653375,0.10054775738614
