logFC,AveExpr,t,P.Value,adj.P.Val,B,geneset
0.950396800180745,-0.000722139687473806,31.711109429594,1.09331654591067e-21,1.98436953082787e-18,39.3665291421436,REACTOME_INTERFERON_GAMMA_SIGNALING
0.896116397810204,-0.0107499360185069,22.041096473417,7.05116270911062e-18,6.39893015851789e-15,30.9575452799423,REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE
0.872481815545406,-0.0191331116832144,21.4232770623369,1.38528681769054e-17,6.99141349760959e-15,30.2938730088329,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS
-0.808335929978853,-0.0072865297773342,-21.3273723256281,1.5408073823933e-17,6.99141349760959e-15,30.1891403158054,REACTOME_COMPLEX_I_BIOGENESIS
-0.716817984042004,0.00532617491946109,-20.7019609073894,3.11705017422679e-17,1.06349246765883e-14,29.4945040001847,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT
0.828278784058325,-0.00180931876640898,20.5967966728919,3.51567757903744e-17,1.06349246765883e-14,29.3756721850161,REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE
-0.884248620835272,-0.0203318975500237,-19.5895104902571,1.14557347994266e-16,2.97030838013704e-14,28.2065515271999,REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING
0.804580913938732,-0.0100012164322282,18.2416400289732,6.06929565367677e-16,1.37697145142792e-13,26.5486078426717,REACTOME_G0_AND_EARLY_G1
0.827035726974645,-0.00616659693395838,16.691610900714,4.73591517113499e-15,9.55076226178889e-13,24.4948336299762,REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS
0.838643760623197,-0.0212976203274942,16.5017698538841,6.15847211758853e-15,1.11776268934232e-12,24.2315111276052,REACTOME_PHOSPHORYLATION_OF_THE_APC_C
0.836961415604679,-0.0174713570811342,16.3200432857958,7.93783767935793e-15,1.30974321709406e-12,23.9769011050467,REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX
0.745291654219632,-0.00715307359047362,16.1101261969806,1.06736849556349e-14,1.61439484953978e-12,23.6796463566248,REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B
-0.79739037926582,0.00920002103997624,-15.8621919885001,1.52063768459472e-14,2.1230441519534e-12,23.3241295988717,REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING
0.96247774191747,0.0173281377897678,15.6496779584685,2.06712733541181e-14,2.67988293840888e-12,23.0155112320603,REACTOME_REGULATION_OF_IFNG_SIGNALING
0.878146229983246,0.00157407365992279,15.2931497021846,3.48697498517797e-14,4.02397889661277e-12,22.4894905670074,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS
0.698754800297394,-0.00340912150160417,15.2815660166344,3.5473092201545e-14,4.02397889661277e-12,22.4722234537792,REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1
0.921803940745327,-0.00100803261066527,14.9124443267563,6.16228224765476e-14,6.57914251734905e-12,21.9160500079648,REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX
0.693499381124547,0.00306515591279936,14.0572969709121,2.31338166511128e-13,2.33265984565387e-11,20.581625897973,REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A
-0.780857763599947,-0.00238070041558951,-13.9666821230338,2.67135624090177e-13,2.45960243603920e-11,20.4363181530833,REACTOME_COMPLEX_IV_ASSEMBLY
